City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Miraflores,MX,2022-04-15 23:02:12,19.2167,-98.8083,84.02,41,94,3.67
67,Macklin,CA,2022-04-15 23:02:12,52.3334,-109.9348,25.54,70,100,6.22
68,Busselton,AU,2022-04-15 23:02:13,-33.65,115.3333,59.45,90,22,5.91
69,Cherskiy,RU,2022-04-15 23:02:13,68.75,161.3,16.52,93,98,4.03
70,Norrtalje,SE,2022-04-15 23:02:13,59.758,18.705,35.02,81,14,5.91
71,Laguna,US,2022-04-15 23:01:06,38.421,-121.4238,73.76,41,0,12.66
72,Kodiak,US,2022-04-15 22:59:44,57.79,-152.4072,36.61,99,100,15.95
73,Semikarakorsk,RU,2022-04-15 23:02:14,47.5194,40.8112,46.63,94,30,7.83
74,Lashio,MM,2022-04-15 23:02:15,22.9333,97.75,67.69,71,50,0.94
75,Sola,VU,2022-04-15 23:02:15,-13.8833,167.55,81.73,71,98,4.05
76,Baherden,TM,2022-04-15 23:02:16,38.4362,57.4316,58.86,65,48,5.3
77,Camapua,BR,2022-04-15 23:02:16,-19.5314,-54.0439,69.4,74,0,7.05
78,Margate,GB,2022-04-15 23:02:17,51.3813,1.3862,51.31,89,54,1.01
79,Faya,SA,2022-04-15 23:02:17,18.3851,42.4509,64.81,40,88,4.85
80,Trairi,BR,2022-04-15 23:02:18,-3.2778,-39.2689,78.19,82,59,4.47
81,Krasnoselkup,RU,2022-04-15 23:02:18,65.7,82.4667,29.64,99,100,1.99
82,Sarkand,KZ,2022-04-15 23:02:19,45.41,79.9186,53.06,23,0,6.15
83,Boali,CF,2022-04-15 23:02:19,4.8005,18.1275,72.3,81,50,4.05
84,Avera,US,2022-04-15 23:02:20,33.194,-82.5271,75.25,54,19,5.68
85,Gushikawa,JP,2022-04-15 23:02:20,26.3544,127.8686,69.8,66,75,11.5
86,Pemba,MZ,2022-04-15 23:02:20,-12.974,40.5178,80.22,81,13,9.91
87,Maunabo,PR,2022-04-15 23:02:21,18.0072,-65.8993,79.7,79,20,13.22
88,Pevek,RU,2022-04-15 23:00:39,69.7008,170.3133,16.0,87,38,2.1
89,Saskylakh,RU,2022-04-15 23:02:21,71.9167,114.0833,-9.29,99,94,7.0
90,Hithadhoo,MV,2022-04-15 23:02:22,-0.6,73.0833,82.6,67,61,3.22
91,Iguape,BR,2022-04-15 23:02:07,-24.7081,-47.5553,65.79,68,0,7.65
92,Flinders,AU,2022-04-15 23:00:18,-34.5833,150.8552,68.05,88,96,5.01
93,Fairbanks,US,2022-04-15 23:02:45,64.8378,-147.7164,37.31,33,48,3.0
94,Moron,AR,2022-04-15 23:03:23,-34.6534,-58.6198,63.97,82,0,5.64
95,Wilmington,US,2022-04-15 22:59:57,34.2257,-77.9447,66.94,48,61,1.99
96,Jumla,NP,2022-04-15 23:03:23,29.2747,82.1838,43.97,50,1,5.64
97,Barrow,US,2022-04-15 23:01:16,71.2906,-156.7887,5.02,78,0,28.77
98,Maniitsoq,GL,2022-04-15 23:03:24,65.4167,-52.9,22.69,59,98,7.99
99,Te Anau,NZ,2022-04-15 23:03:24,-45.4167,167.7167,53.98,56,49,8.12
100,Dikson,RU,2022-04-15 23:01:00,73.5069,80.5464,15.15,96,100,10.13
101,Atar,MR,2022-04-15 23:03:25,20.5169,-13.0499,78.1,15,0,1.52
102,Baie-Comeau,CA,2022-04-15 23:03:25,49.2168,-68.1489,34.97,97,41,3.02
103,Fort Nelson,CA,2022-04-15 23:03:25,58.8053,-122.7002,35.47,67,87,4.9
104,San Bartolome De Tirajana,ES,2022-04-15 23:03:26,27.9248,-15.5733,57.67,83,20,26.46
105,Provideniya,RU,2022-04-15 23:03:26,64.3833,-173.3,32.81,94,100,28.34
106,Nikolskoye,RU,2022-04-15 23:00:51,59.7035,30.7861,38.71,81,96,13.27
107,Lebu,CL,2022-04-15 23:03:27,-37.6167,-73.65,54.23,87,23,12.44
108,Ola,RU,2022-04-15 23:03:27,59.5833,151.2833,22.84,70,100,7.16
109,San Vicente,AR,2022-04-15 23:03:27,-26.6167,-54.1333,51.48,84,0,3.47
110,Vigrestad,NO,2022-04-15 23:03:28,58.5667,5.7,37.81,79,63,5.55
111,Flin Flon,CA,2022-04-15 23:03:28,54.7682,-101.865,27.72,60,100,9.33
112,Nautla,MX,2022-04-15 23:03:28,20.2167,-96.7833,82.47,74,83,13.33
113,East London,ZA,2022-04-15 22:58:54,-33.0153,27.9116,61.7,64,100,10.07
114,Rabo De Peixe,PT,2022-04-15 23:03:30,37.8,-25.5833,62.11,88,75,9.22
115,Tornio,FI,2022-04-15 23:03:30,65.8481,24.1466,23.02,91,66,3.04
116,Vilhena,BR,2022-04-15 23:03:30,-12.7406,-60.1458,70.09,93,77,2.51
117,Geraldton,AU,2022-04-15 23:01:35,-28.7667,114.6,57.61,94,2,0.0
118,Le Vauclin,MQ,2022-04-15 23:03:31,14.5452,-60.8388,80.65,74,75,12.66
119,Dauriya,RU,2022-04-15 23:03:31,49.9333,116.8667,35.6,66,98,5.61
120,Salalah,OM,2022-04-15 23:03:31,17.0151,54.0924,78.89,83,20,2.3
121,Maldaresti,RO,2022-04-15 23:03:32,45.1167,24.0,51.66,71,67,3.56
122,Pangnirtung,CA,2022-04-15 23:03:32,66.1451,-65.7125,-1.05,93,20,4.23
123,Baruun-Urt,MN,2022-04-15 23:01:10,46.6806,113.2792,35.31,42,1,8.01
124,Altay,CN,2022-04-15 23:03:33,47.8667,88.1167,34.63,32,0,8.41
125,Sambava,MG,2022-04-15 23:02:34,-14.2667,50.1667,76.77,88,90,10.09
126,Badarwas,IN,2022-04-15 23:03:33,24.9667,77.5667,81.25,24,0,11.68
127,Birao,CF,2022-04-15 23:03:33,10.2849,22.7882,82.13,13,66,6.15
128,Sur,OM,2022-04-15 23:00:20,22.5667,59.5289,88.47,33,15,12.97
129,Aklavik,CA,2022-04-15 23:03:34,68.2191,-135.0107,7.18,76,97,5.79
130,Craig,US,2022-04-15 23:03:34,40.5153,-107.5464,52.39,46,20,14.97
131,Champerico,GT,2022-04-15 23:03:34,14.3,-91.9167,90.14,64,47,10.69
132,Santa Maria,BR,2022-04-15 23:00:27,-29.6842,-53.8069,57.99,77,35,3.18
133,Goderich,CA,2022-04-15 23:02:00,43.7501,-81.7165,46.9,61,100,25.59
134,Bethel,US,2022-04-15 23:02:35,41.3712,-73.414,62.64,33,0,14.97
135,Saryg-Sep,RU,2022-04-15 23:04:35,51.5,95.6,31.19,63,46,2.89
136,Faanui,PF,2022-04-15 23:04:35,-16.4833,-151.75,82.2,70,8,18.21
