City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,Burns Lake,CA,38.62,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
76,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
77,Two Rivers,US,45.36,few clouds,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
80,Izberbash,RU,46.45,scattered clouds,42.5696,47.8645,Ramina
81,Namibe,AO,71.62,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
82,Raudeberg,NO,45.86,overcast clouds,61.9875,5.1352,Nordre Silda.
85,Barrow,US,2.59,clear sky,71.2906,-156.7887,King Eider Inn
86,Hofn,IS,44.94,broken clouds,64.2539,-15.2082,Hótel Höfn
87,Vila Franca Do Campo,PT,63.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
88,Ust-Nera,RU,10.49,overcast clouds,64.5667,143.2,Hotel Ust-Nera
89,Bourail,NC,76.08,broken clouds,-21.5667,165.4833,Motel Allamanda
90,Nemuro,JP,33.85,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
91,Kaputa,ZM,68.25,light rain,-8.4689,29.6619,Chelelwa Charlets
92,Meulaboh,ID,76.91,broken clouds,4.1363,96.1285,Kost Pria
93,Grindavik,IS,48.15,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
96,Dalvik,IS,49.93,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
97,Esperance,AU,55.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
98,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
99,Codrington,AU,58.96,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
101,Puerto Escondido,MX,87.06,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
103,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
104,Thompson,CA,24.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
105,Mahibadhoo,MV,83.66,overcast clouds,3.7833,72.9667,Omadhoo Inn
106,Tutoia,BR,79.12,broken clouds,-2.7619,-42.2744,Pousada Guará's
107,Nosy Varika,MG,74.64,light rain,-20.5833,48.5333,Hotel Volazara
108,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
110,Deputatskiy,RU,6.42,overcast clouds,69.3,139.9,Baza Otdykha
111,Makakilo City,US,80.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Port-Gentil,GA,80.71,scattered clouds,-0.7193,8.7815,Fengshui Residence
113,Kodiak,US,36.59,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
114,Talnakh,RU,24.94,overcast clouds,69.4865,88.3972,Talnakh Hotel
115,Kutum,SD,74.25,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
117,Nanchang,CN,52.03,moderate rain,28.6833,115.8833,Ruidu Hotel
118,Kaeo,NZ,64.33,broken clouds,-35.1,173.7833,Bushido Lodge
120,Karpathos,GR,60.76,overcast clouds,35.507,27.2132,Alex
121,Marquette,US,29.34,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
124,Kiama,AU,63.57,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
125,New Norfolk,AU,52.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
127,Samarai,PG,82.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
128,Lufkin,US,79.48,overcast clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
130,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Bubaque,GW,74.53,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
132,Barra,BR,78.24,broken clouds,-11.0894,-43.1417,Motel Albatroz
133,Longyearbyen,SJ,26.44,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
134,Castro,BR,53.01,clear sky,-24.7911,-50.0119,CHACARA BAILLY
136,Salekhard,RU,15.24,overcast clouds,66.53,66.6019,Hotel 89
137,North Platte,US,48.11,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
138,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
139,Ofunato,JP,41.31,light rain,39.0717,141.7167,Ofunato Hot Spring
140,Camaqua,BR,61.14,broken clouds,-30.8511,-51.8122,Bartz Hotel
141,Basti,IN,83.59,scattered clouds,26.8,82.7167,SPOT ON 43231 Hotel Aura Inn SPOT
142,Half Moon Bay,US,72.54,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
144,Corinto,GR,56.89,overcast clouds,37.9407,22.9573,Ephira Hotel
145,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
146,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
147,Cidreira,BR,63.97,scattered clouds,-30.1811,-50.2056,Hotel Castelo
148,Reo,BF,92.8,overcast clouds,12.3167,-2.4667,Hôtel Deogratias
149,Lethem,GY,80.65,scattered clouds,3.3803,-59.7968,Savannah Inn
